split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,mask_f1,0.22400,0.00293,0.22107,10,10
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,target_success,0.28125,0.05917,0.22208,10,10
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,causal_utility,0.36179,0.04482,0.31697,10,10
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,passive_false_attribution,-0.33227,0.00409,-0.33636,10,10
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,effect_error,-0.26076,0.01843,-0.27918,10,10
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,unsafe_contact,-0.12812,0.04584,-0.17396,10,10
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,risk_upper,-0.08535,0.00109,-0.08644,10,10
articulated_coupling,causal_scene_flow_model_v5,flow_magnitude_threshold,intervention_consistency,0.22857,0.00292,0.22565,10,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,mask_f1,0.10175,0.01435,0.08740,10,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,target_success,0.13125,0.03714,0.09410,10,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,causal_utility,0.17173,0.03270,0.13903,10,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,passive_false_attribution,-0.19211,0.02709,-0.21920,10,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,effect_error,-0.02171,0.00745,-0.02916,9,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,unsafe_contact,-0.06875,0.02784,-0.09659,9,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,risk_upper,-0.05121,0.00799,-0.05920,10,10
articulated_coupling,causal_scene_flow_model_v5,action_direction_projection,intervention_consistency,0.12053,0.00667,0.11385,10,10
articulated_coupling,causal_scene_flow_model_v5,rigid_scene_flow_cluster,mask_f1,0.07762,0.00300,0.07463,10,10
articulated_coupling,causal_scene_flow_model_v5,rigid_scene_flow_cluster,target_success,0.10156,0.05869,0.04288,7,10
articulated_coupling,causal_scene_flow_model_v5,rigid_scene_flow_cluster,causal_utility,0.13590,0.03923,0.09666,10,10
articulated_coupling,causal_scene_flow_model_v5,rigid_scene_flow_cluster,passive_false_attribution,-0.13740,0.00420,-0.14160,10,10
articulated_coupling,causal_scene_flow_model_v5,rigid_scene_flow_cluster,effect_error,-0.09275,0.00948,-0.10223,10,10
articulated_coupling,causal_scene_flow_model_v5,rigid_scene_flow_cluster,unsafe_contact,-0.05937,0.02180,-0.08117,10,10
