split,method,metric,mean,ci95,seeds,rows_per_seed
hard_regime_aggregate,action_direction_projection,mask_f1,0.64801,0.00391,10,512
hard_regime_aggregate,action_direction_projection,precision,0.52089,0.00503,10,512
hard_regime_aggregate,action_direction_projection,recall,0.92314,0.00081,10,512
hard_regime_aggregate,action_direction_projection,occluded_recall,0.76964,0.00439,10,512
hard_regime_aggregate,action_direction_projection,passive_false_attribution,0.45526,0.00791,10,512
hard_regime_aggregate,action_direction_projection,effect_error,0.41108,0.00303,10,512
hard_regime_aggregate,action_direction_projection,target_success,0.51309,0.01051,10,512
hard_regime_aggregate,action_direction_projection,unsafe_contact,0.15703,0.00827,10,512
hard_regime_aggregate,action_direction_projection,brier,0.18548,0.00135,10,512
hard_regime_aggregate,action_direction_projection,calibration_error,0.30372,0.00172,10,512
hard_regime_aggregate,action_direction_projection,risk_upper,0.24704,0.00238,10,512
hard_regime_aggregate,action_direction_projection,coverage,1.00000,0.00000,10,512
hard_regime_aggregate,action_direction_projection,counterfactual_gap,0.39463,0.00202,10,512
hard_regime_aggregate,action_direction_projection,intervention_consistency,0.70507,0.00285,10,512
hard_regime_aggregate,action_direction_projection,causal_utility,0.41162,0.00934,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,mask_f1,0.83277,0.00170,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,precision,0.75433,0.00275,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,recall,0.94540,0.00124,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,occluded_recall,0.91776,0.00361,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,passive_false_attribution,0.20541,0.00246,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,effect_error,0.30742,0.00290,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,target_success,0.71973,0.01290,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,unsafe_contact,0.08320,0.00618,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,brier,0.09941,0.00027,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,calibration_error,0.18884,0.00040,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,risk_upper,0.19025,0.00064,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,coverage,1.00000,0.00000,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,counterfactual_gap,0.44044,0.00118,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,intervention_consistency,0.78964,0.00084,10,512
hard_regime_aggregate,calibrated_tree_flow_proxy,causal_utility,0.65876,0.00845,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,mask_f1,0.82557,0.00177,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,precision,0.75242,0.00261,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,recall,0.93772,0.00147,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,occluded_recall,0.89283,0.00405,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,passive_false_attribution,0.20563,0.00275,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,effect_error,0.39990,0.00418,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,target_success,0.70801,0.01037,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,unsafe_contact,0.07988,0.00569,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,brier,0.09034,0.00050,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,calibration_error,0.17413,0.00096,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,risk_upper,0.15148,0.00077,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,coverage,1.00000,0.00000,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,counterfactual_gap,0.50549,0.00190,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,intervention_consistency,0.82142,0.00110,10,512
hard_regime_aggregate,causal_scene_flow_model_v4,causal_utility,0.64884,0.00712,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,mask_f1,0.81699,0.00175,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,precision,0.73057,0.00280,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,recall,0.94855,0.00109,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,occluded_recall,0.92220,0.00211,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,passive_false_attribution,0.22730,0.00267,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,effect_error,0.41542,0.00456,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,target_success,0.70918,0.01596,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,unsafe_contact,0.07695,0.00992,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,brier,0.08927,0.00056,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,calibration_error,0.18053,0.00096,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,risk_upper,0.18540,0.00075,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,coverage,1.00000,0.00000,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,counterfactual_gap,0.54809,0.00174,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,intervention_consistency,0.84161,0.00098,10,512
hard_regime_aggregate,causal_scene_flow_model_v5,causal_utility,0.64823,0.01363,10,512
hard_regime_aggregate,contrastive_action_flow,mask_f1,0.83774,0.00186,10,512
hard_regime_aggregate,contrastive_action_flow,precision,0.80504,0.00296,10,512
hard_regime_aggregate,contrastive_action_flow,recall,0.89264,0.00185,10,512
