split,risk_budget,method,seed,rows,coverage,fixed_risk_success,executed_success,false_safe_rate,unsafe_contact,mask_f1,causal_utility,risk_upper
combined_hard_shift,0.02,calibrated_tree_flow_proxy,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.78091,0.16018,0.22247
combined_hard_shift,0.02,calibrated_tree_flow_proxy,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76963,0.15535,0.22561
combined_hard_shift,0.02,calibrated_tree_flow_proxy,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.77422,0.15749,0.22122
combined_hard_shift,0.02,calibrated_tree_flow_proxy,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.77569,0.15868,0.21966
combined_hard_shift,0.02,calibrated_tree_flow_proxy,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.77460,0.16075,0.21845
combined_hard_shift,0.02,calibrated_tree_flow_proxy,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76658,0.15494,0.22745
combined_hard_shift,0.02,calibrated_tree_flow_proxy,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.77095,0.15511,0.22720
combined_hard_shift,0.02,calibrated_tree_flow_proxy,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76902,0.15517,0.22510
combined_hard_shift,0.02,calibrated_tree_flow_proxy,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76858,0.15485,0.22628
combined_hard_shift,0.02,calibrated_tree_flow_proxy,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76151,0.15091,0.23204
combined_hard_shift,0.02,causal_scene_flow_model_v5,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.77145,0.15513,0.20777
combined_hard_shift,0.02,causal_scene_flow_model_v5,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.75809,0.14762,0.21330
combined_hard_shift,0.02,causal_scene_flow_model_v5,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76600,0.15313,0.20815
combined_hard_shift,0.02,causal_scene_flow_model_v5,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76472,0.15285,0.21015
combined_hard_shift,0.02,causal_scene_flow_model_v5,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.76307,0.15513,0.21502
