split,ablation,mask_f1,ci95_f1,target_success,ci95_success,passive_false_attribution,effect_error,unsafe_contact,occluded_recall,causal_utility,risk_upper
combined_hard_shift,full_causal_scene_flow_model_v5,0.75649,0.00625,0.62125,0.02584,0.28290,0.55659,0.08250,0.88587,0.55355,0.21699
combined_hard_shift,minus_action_conditioning,0.75185,0.00497,0.56375,0.02816,0.31458,0.62426,0.12500,0.90652,0.47853,0.21201
combined_hard_shift,minus_passive_flow_factor,0.71457,0.00703,0.49750,0.02333,0.49032,0.54291,0.17500,0.98387,0.39397,0.25938
combined_hard_shift,minus_articulation_graph,0.71404,0.00885,0.57625,0.03193,0.20599,0.48582,0.13750,0.63924,0.49974,0.17805
combined_hard_shift,minus_occlusion_reasoning,0.74891,0.00571,0.57250,0.03757,0.26212,0.55314,0.12375,0.79262,0.50311,0.19147
combined_hard_shift,minus_counterfactual_negatives,0.75612,0.00622,0.58625,0.03454,0.30929,0.56688,0.12000,0.93465,0.51035,0.20626
combined_hard_shift,minus_uncertainty_calibration,0.74199,0.00693,0.61500,0.03685,0.31295,0.56876,0.17500,0.91895,0.50838,0.15677
combined_hard_shift,correlation_only_causal_head,0.73995,0.00927,0.55750,0.04215,0.33586,0.48859,0.13500,0.84595,0.47505,0.21481
combined_hard_shift,mask_only_no_effect_predictor,0.75649,0.00625,0.45000,0.02899,0.28290,1.01659,0.14125,0.88587,0.38493,0.19690
combined_hard_shift,old_v4_causal_score,0.76927,0.00614,0.62750,0.02824,0.25309,0.54987,0.13000,0.85646,0.54478,0.18857
distractor_contact_shift,full_causal_scene_flow_model_v5,0.77418,0.00382,0.64875,0.05132,0.30144,0.47283,0.11625,0.92562,0.56960,0.21309
distractor_contact_shift,minus_action_conditioning,0.73717,0.00387,0.56125,0.05132,0.36066,0.54690,0.15000,0.90250,0.46555,0.21759
distractor_contact_shift,minus_passive_flow_factor,0.71235,0.00717,0.55875,0.03143,0.48023,0.50213,0.14875,0.99063,0.45209,0.25305
distractor_contact_shift,minus_articulation_graph,0.76547,0.00499,0.64250,0.05370,0.22995,0.38790,0.10000,0.66750,0.57590,0.17700
distractor_contact_shift,minus_occlusion_reasoning,0.76964,0.00329,0.64000,0.03422,0.28457,0.45655,0.14250,0.79531,0.55361,0.19158
distractor_contact_shift,minus_counterfactual_negatives,0.76582,0.00418,0.63750,0.03616,0.32623,0.49407,0.12500,0.96150,0.55090,0.20566
distractor_contact_shift,minus_uncertainty_calibration,0.76224,0.00415,0.63000,0.02926,0.32646,0.49600,0.17125,0.95173,0.52920,0.15584
distractor_contact_shift,correlation_only_causal_head,0.76879,0.00464,0.63875,0.02955,0.31779,0.42924,0.16375,0.90594,0.53693,0.20499
distractor_contact_shift,mask_only_no_effect_predictor,0.77418,0.00382,0.47000,0.03656,0.30144,0.93283,0.13500,0.92562,0.41013,0.19636
distractor_contact_shift,old_v4_causal_score,0.78365,0.00273,0.60625,0.03711,0.27664,0.45020,0.12125,0.88687,0.54154,0.18909
