split,risk_budget,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
combined_hard_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,coverage,-0.00156,0.00306,-0.00462,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,fixed_risk_success,-0.00156,0.00306,-0.00462,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,executed_success,-0.10000,0.19600,-0.29600,0,10
combined_hard_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,learned_correlation_classifier,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,learned_correlation_classifier,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,learned_correlation_classifier,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,learned_correlation_classifier,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,contrastive_action_flow,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,contrastive_action_flow,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,contrastive_action_flow,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,contrastive_action_flow,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,world_model_flow_predictor,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,world_model_flow_predictor,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,world_model_flow_predictor,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,world_model_flow_predictor,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,oracle_causal_mask,coverage,-1.00000,0.00000,-1.00000,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,oracle_causal_mask,fixed_risk_success,-0.97656,0.00823,-0.98480,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,oracle_causal_mask,executed_success,-0.97656,0.00823,-0.98480,0,10
combined_hard_shift,0.05,causal_scene_flow_model_v5,oracle_causal_mask,false_safe_rate,-0.00625,0.00500,-0.01125,4,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,learned_correlation_classifier,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,learned_correlation_classifier,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,learned_correlation_classifier,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,learned_correlation_classifier,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,contrastive_action_flow,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,contrastive_action_flow,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,contrastive_action_flow,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,contrastive_action_flow,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,world_model_flow_predictor,coverage,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,world_model_flow_predictor,fixed_risk_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,world_model_flow_predictor,executed_success,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,world_model_flow_predictor,false_safe_rate,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,oracle_causal_mask,coverage,-1.00000,0.00000,-1.00000,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,oracle_causal_mask,fixed_risk_success,-0.98125,0.00764,-0.98889,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,oracle_causal_mask,executed_success,-0.98125,0.00764,-0.98889,0,10
combined_hard_shift,0.10,causal_scene_flow_model_v5,oracle_causal_mask,false_safe_rate,-0.00937,0.00677,-0.01614,5,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,learned_correlation_classifier,coverage,-0.09687,0.03021,-0.12709,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,learned_correlation_classifier,fixed_risk_success,-0.04531,0.03579,-0.08110,1,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,learned_correlation_classifier,executed_success,0.07337,0.08515,-0.01178,6,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,learned_correlation_classifier,false_safe_rate,-0.02858,0.04076,-0.06934,5,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,coverage,0.04531,0.02560,0.01971,8,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,fixed_risk_success,0.03437,0.02614,0.00823,7,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,executed_success,0.00347,0.09056,-0.08709,4,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,false_safe_rate,-0.03352,0.07088,-0.10440,6,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,contrastive_action_flow,coverage,-0.27344,0.04479,-0.31822,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,contrastive_action_flow,fixed_risk_success,-0.17031,0.05010,-0.22042,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,contrastive_action_flow,executed_success,0.06969,0.06251,0.00718,8,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,contrastive_action_flow,false_safe_rate,-0.03094,0.04286,-0.07380,8,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,world_model_flow_predictor,coverage,-0.15312,0.02807,-0.18119,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,world_model_flow_predictor,fixed_risk_success,-0.09844,0.03875,-0.13719,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,world_model_flow_predictor,executed_success,0.03502,0.08330,-0.04828,6,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,world_model_flow_predictor,false_safe_rate,-0.02571,0.05249,-0.07819,7,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,oracle_causal_mask,coverage,-0.67969,0.03268,-0.71237,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,oracle_causal_mask,fixed_risk_success,-0.73281,0.02718,-0.76000,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,oracle_causal_mask,executed_success,-0.21479,0.05195,-0.26674,0,10
combined_hard_shift,0.20,causal_scene_flow_model_v5,oracle_causal_mask,false_safe_rate,0.05655,0.04482,0.01173,2,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,coverage,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,fixed_risk_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,executed_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,learned_correlation_classifier,false_safe_rate,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,coverage,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,fixed_risk_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,executed_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,false_safe_rate,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,coverage,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,fixed_risk_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,executed_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,contrastive_action_flow,false_safe_rate,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,coverage,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,fixed_risk_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,executed_success,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,world_model_flow_predictor,false_safe_rate,0.00000,0.00000,0.00000,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,coverage,-0.70625,0.03787,-0.74412,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,fixed_risk_success,-0.69375,0.03879,-0.73254,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,executed_success,-0.98215,0.00876,-0.99091,0,10
distractor_contact_shift,0.02,causal_scene_flow_model_v5,oracle_causal_mask,false_safe_rate,-0.00732,0.01434,-0.02166,1,10
