split,risk_budget,method,coverage,ci95_coverage,fixed_risk_success,ci95_fixed_risk_success,executed_success,false_safe_rate,unsafe_contact,mask_f1,causal_utility,risk_upper
combined_hard_shift,0.02,calibrated_tree_flow_proxy,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77117,0.15634,0.22455
combined_hard_shift,0.02,causal_scene_flow_model_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76538,0.15185,0.21169
combined_hard_shift,0.02,contrastive_action_flow,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74710,0.15556,0.18684
combined_hard_shift,0.02,learned_correlation_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74571,0.14314,0.21282
combined_hard_shift,0.02,oracle_causal_mask,0.00156,0.00306,0.00156,0.00306,0.10000,0.00000,0.00000,1.00000,0.28109,0.02147
combined_hard_shift,0.02,world_model_flow_predictor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77588,0.15650,0.19712
combined_hard_shift,0.05,calibrated_tree_flow_proxy,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77117,0.15634,0.22455
combined_hard_shift,0.05,causal_scene_flow_model_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76538,0.15185,0.21169
combined_hard_shift,0.05,contrastive_action_flow,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74710,0.15556,0.18684
combined_hard_shift,0.05,learned_correlation_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74571,0.14314,0.21282
combined_hard_shift,0.05,oracle_causal_mask,1.00000,0.00000,0.97656,0.00823,0.97656,0.00625,0.00625,1.00000,0.96134,0.02147
combined_hard_shift,0.05,world_model_flow_predictor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77588,0.15650,0.19712
combined_hard_shift,0.10,calibrated_tree_flow_proxy,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77117,0.15634,0.22455
combined_hard_shift,0.10,causal_scene_flow_model_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76538,0.15185,0.21169
combined_hard_shift,0.10,contrastive_action_flow,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74710,0.15556,0.18684
combined_hard_shift,0.10,learned_correlation_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74571,0.14314,0.21282
combined_hard_shift,0.10,oracle_causal_mask,1.00000,0.00000,0.98125,0.00764,0.98125,0.00937,0.00937,1.00000,0.96350,0.02147
