split,risk_budget,method,coverage,ci95_coverage,fixed_risk_success,ci95_fixed_risk_success,executed_success,false_safe_rate,unsafe_contact,mask_f1,causal_utility,risk_upper
combined_hard_shift,0.10,world_model_flow_predictor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77588,0.15650,0.19712
combined_hard_shift,0.20,calibrated_tree_flow_proxy,0.27500,0.02102,0.20781,0.02144,0.75673,0.09945,0.09945,0.77117,0.29225,0.22455
combined_hard_shift,0.20,causal_scene_flow_model_v5,0.32031,0.03268,0.24219,0.02633,0.76021,0.06593,0.06593,0.76538,0.31351,0.21169
combined_hard_shift,0.20,contrastive_action_flow,0.59375,0.04379,0.41250,0.04836,0.69052,0.09687,0.09687,0.74710,0.42350,0.18684
combined_hard_shift,0.20,learned_correlation_classifier,0.41719,0.02889,0.28750,0.03170,0.68683,0.09451,0.09451,0.74571,0.33033,0.21282
combined_hard_shift,0.20,oracle_causal_mask,1.00000,0.00000,0.97500,0.00817,0.97500,0.00937,0.00937,1.00000,0.95913,0.02147
combined_hard_shift,0.20,world_model_flow_predictor,0.47344,0.04679,0.34063,0.03441,0.72519,0.09163,0.09163,0.77588,0.37975,0.19712
distractor_contact_shift,0.02,calibrated_tree_flow_proxy,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78170,0.16057,0.22142
distractor_contact_shift,0.02,causal_scene_flow_model_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77334,0.15742,0.21331
distractor_contact_shift,0.02,contrastive_action_flow,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78629,0.16843,0.18039
distractor_contact_shift,0.02,learned_correlation_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77208,0.15559,0.20137
distractor_contact_shift,0.02,oracle_causal_mask,0.70625,0.03787,0.69375,0.03879,0.98215,0.00732,0.00732,1.00000,0.76394,0.01963
distractor_contact_shift,0.02,world_model_flow_predictor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78584,0.16205,0.20301
distractor_contact_shift,0.05,calibrated_tree_flow_proxy,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78170,0.16057,0.22142
distractor_contact_shift,0.05,causal_scene_flow_model_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77334,0.15742,0.21331
distractor_contact_shift,0.05,contrastive_action_flow,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78629,0.16843,0.18039
distractor_contact_shift,0.05,learned_correlation_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77208,0.15559,0.20137
distractor_contact_shift,0.05,oracle_causal_mask,1.00000,0.00000,0.96719,0.01736,0.96719,0.02031,0.02031,1.00000,0.94972,0.01963
distractor_contact_shift,0.05,world_model_flow_predictor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78584,0.16205,0.20301
distractor_contact_shift,0.10,calibrated_tree_flow_proxy,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78170,0.16057,0.22142
distractor_contact_shift,0.10,causal_scene_flow_model_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77334,0.15742,0.21331
distractor_contact_shift,0.10,contrastive_action_flow,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78629,0.16843,0.18039
distractor_contact_shift,0.10,learned_correlation_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77208,0.15559,0.20137
distractor_contact_shift,0.10,oracle_causal_mask,1.00000,0.00000,0.97813,0.00817,0.97813,0.01094,0.01094,1.00000,0.96075,0.01963
distractor_contact_shift,0.10,world_model_flow_predictor,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78584,0.16205,0.20301
distractor_contact_shift,0.20,calibrated_tree_flow_proxy,0.28906,0.03454,0.22500,0.02709,0.78154,0.07126,0.07126,0.78170,0.31076,0.22142
distractor_contact_shift,0.20,causal_scene_flow_model_v5,0.28125,0.04810,0.22031,0.04170,0.77584,0.10016,0.10016,0.77334,0.30264,0.21331
distractor_contact_shift,0.20,contrastive_action_flow,0.52187,0.03714,0.39062,0.04083,0.74832,0.08341,0.08341,0.78629,0.42668,0.18039
distractor_contact_shift,0.20,learned_correlation_classifier,0.37031,0.04701,0.28906,0.04594,0.77828,0.10530,0.10530,0.77208,0.34331,0.20137
distractor_contact_shift,0.20,oracle_causal_mask,1.00000,0.00000,0.97031,0.01066,0.97031,0.00937,0.00937,1.00000,0.95584,0.01963
distractor_contact_shift,0.20,world_model_flow_predictor,0.42656,0.04259,0.35156,0.03268,0.82734,0.08655,0.08655,0.78584,0.39521,0.20301
