method,seed,rows,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error,risk_upper,coverage,counterfactual_gap,intervention_consistency,causal_utility,split
action_direction_projection,0,512,0.66251,0.53976,0.92556,0.77878,0.43012,0.40209,0.50000,0.15234,0.18170,0.29864,0.23944,1.00000,0.39945,0.71373,0.41107,hard_regime_aggregate
action_direction_projection,1,512,0.64517,0.51642,0.92267,0.76284,0.46129,0.41339,0.52930,0.14453,0.18617,0.30436,0.24865,1.00000,0.39386,0.70322,0.42593,hard_regime_aggregate
action_direction_projection,2,512,0.64481,0.51885,0.92120,0.75929,0.46078,0.40888,0.51953,0.15625,0.18759,0.30563,0.24901,1.00000,0.39214,0.70205,0.41501,hard_regime_aggregate
action_direction_projection,3,512,0.65130,0.52467,0.92230,0.76150,0.44512,0.40639,0.54883,0.15039,0.18449,0.30151,0.24412,1.00000,0.39683,0.70822,0.44144,hard_regime_aggregate
action_direction_projection,4,512,0.64949,0.52049,0.92444,0.77456,0.45163,0.41206,0.50391,0.16797,0.18372,0.30234,0.24568,1.00000,0.39855,0.70824,0.40225,hard_regime_aggregate
action_direction_projection,5,512,0.64634,0.51910,0.92270,0.77016,0.46995,0.40776,0.51367,0.17188,0.18739,0.30552,0.25128,1.00000,0.39113,0.69990,0.40424,hard_regime_aggregate
action_direction_projection,6,512,0.64323,0.51348,0.92348,0.76632,0.46282,0.41922,0.52148,0.13477,0.18652,0.30720,0.24962,1.00000,0.39283,0.70255,0.42305,hard_regime_aggregate
action_direction_projection,7,512,0.63947,0.51056,0.92256,0.77885,0.47134,0.41506,0.49805,0.16016,0.18852,0.30594,0.25172,1.00000,0.39027,0.69911,0.39572,hard_regime_aggregate
action_direction_projection,8,512,0.65181,0.52632,0.92210,0.76918,0.44441,0.41257,0.49805,0.15234,0.18310,0.30067,0.24369,1.00000,0.39773,0.70880,0.40505,hard_regime_aggregate
action_direction_projection,9,512,0.64593,0.51926,0.92440,0.77494,0.45518,0.41335,0.49805,0.17969,0.18561,0.30543,0.24718,1.00000,0.39350,0.70483,0.39245,hard_regime_aggregate
calibrated_tree_flow_proxy,0,512,0.83352,0.75532,0.94675,0.92082,0.20567,0.30429,0.73242,0.09766,0.09935,0.18841,0.19015,1.00000,0.44246,0.79099,0.66288,hard_regime_aggregate
calibrated_tree_flow_proxy,1,512,0.83754,0.76094,0.94753,0.92692,0.20077,0.30064,0.71875,0.08594,0.09889,0.18788,0.18879,1.00000,0.44068,0.79134,0.65902,hard_regime_aggregate
calibrated_tree_flow_proxy,2,512,0.83003,0.75183,0.94211,0.90537,0.20649,0.31209,0.72656,0.08008,0.09991,0.18982,0.19082,1.00000,0.43842,0.78750,0.66356,hard_regime_aggregate
calibrated_tree_flow_proxy,3,512,0.83147,0.74976,0.94810,0.91565,0.20961,0.31259,0.69141,0.08398,0.09986,0.18927,0.19131,1.00000,0.43966,0.78901,0.63756,hard_regime_aggregate
calibrated_tree_flow_proxy,4,512,0.82851,0.74772,0.94678,0.92048,0.21332,0.30987,0.76367,0.08984,0.09930,0.18930,0.19214,1.00000,0.44293,0.78955,0.68534,hard_regime_aggregate
calibrated_tree_flow_proxy,5,512,0.83473,0.75878,0.94352,0.91974,0.20039,0.30056,0.71680,0.06445,0.09949,0.18813,0.18902,1.00000,0.43808,0.78903,0.66471,hard_regime_aggregate
calibrated_tree_flow_proxy,6,512,0.83319,0.75357,0.94659,0.91565,0.20523,0.30821,0.71484,0.09180,0.09903,0.18923,0.19034,1.00000,0.44169,0.79064,0.65241,hard_regime_aggregate
calibrated_tree_flow_proxy,7,512,0.82998,0.75005,0.94428,0.92248,0.20662,0.31311,0.72070,0.07031,0.10017,0.18918,0.19064,1.00000,0.43758,0.78760,0.66291,hard_regime_aggregate
calibrated_tree_flow_proxy,8,512,0.83458,0.75747,0.94445,0.91407,0.20300,0.30491,0.72266,0.08789,0.09908,0.18817,0.18957,1.00000,0.44169,0.79058,0.65997,hard_regime_aggregate
calibrated_tree_flow_proxy,9,512,0.83415,0.75788,0.94387,0.91639,0.20300,0.30796,0.68945,0.08008,0.09901,0.18904,0.18969,1.00000,0.44116,0.79015,0.63923,hard_regime_aggregate
causal_scene_flow_model_v4,0,512,0.82462,0.75081,0.93904,0.89395,0.20882,0.38897,0.68359,0.08008,0.09105,0.17605,0.15241,1.00000,0.51003,0.82343,0.63204,hard_regime_aggregate
causal_scene_flow_model_v4,1,512,0.83165,0.76232,0.93772,0.89033,0.19729,0.39177,0.70117,0.07812,0.08919,0.17165,0.14899,1.00000,0.50561,0.82332,0.64738,hard_regime_aggregate
causal_scene_flow_model_v4,2,512,0.82375,0.75037,0.93593,0.88708,0.20563,0.40715,0.73047,0.06641,0.09026,0.17395,0.15157,1.00000,0.50282,0.81957,0.66847,hard_regime_aggregate
causal_scene_flow_model_v4,3,512,0.82526,0.75006,0.93985,0.88900,0.20961,0.39739,0.73242,0.08398,0.09133,0.17601,0.15270,1.00000,0.50383,0.82024,0.66393,hard_regime_aggregate
causal_scene_flow_model_v4,4,512,0.82077,0.74604,0.93763,0.89604,0.21282,0.39471,0.69922,0.07617,0.09083,0.17558,0.15337,1.00000,0.50911,0.82170,0.64274,hard_regime_aggregate
causal_scene_flow_model_v4,5,512,0.82488,0.75359,0.93425,0.87999,0.20277,0.40244,0.70117,0.08008,0.09018,0.17209,0.15069,1.00000,0.50156,0.81910,0.64379,hard_regime_aggregate
causal_scene_flow_model_v4,6,512,0.82745,0.75225,0.94098,0.90044,0.20461,0.40588,0.70508,0.08984,0.08942,0.17366,0.15117,1.00000,0.50668,0.82311,0.64347,hard_regime_aggregate
causal_scene_flow_model_v4,7,512,0.82413,0.75239,0.93422,0.89251,0.20208,0.40545,0.69336,0.06445,0.09117,0.17408,0.15074,1.00000,0.50131,0.81912,0.64373,hard_regime_aggregate
causal_scene_flow_model_v4,8,512,0.82611,0.75140,0.94023,0.90147,0.20820,0.39763,0.72852,0.08789,0.09063,0.17509,0.15215,1.00000,0.50801,0.82282,0.66039,hard_regime_aggregate
causal_scene_flow_model_v4,9,512,0.82712,0.75500,0.93738,0.89751,0.20447,0.40765,0.70508,0.09180,0.08931,0.17316,0.15103,1.00000,0.50593,0.82182,0.64247,hard_regime_aggregate
causal_scene_flow_model_v5,0,512,0.81719,0.73036,0.95046,0.92181,0.22942,0.40377,0.72070,0.05469,0.09016,0.18227,0.18604,1.00000,0.55199,0.84366,0.66504,hard_regime_aggregate
causal_scene_flow_model_v5,1,512,0.82302,0.74056,0.94822,0.92334,0.21930,0.40608,0.73633,0.06641,0.08796,0.17811,0.18304,1.00000,0.54843,0.84346,0.67374,hard_regime_aggregate
causal_scene_flow_model_v5,2,512,0.81547,0.72887,0.94675,0.91763,0.22705,0.42391,0.72852,0.07812,0.08922,0.18043,0.18543,1.00000,0.54547,0.83985,0.66041,hard_regime_aggregate
causal_scene_flow_model_v5,3,512,0.81625,0.72710,0.95026,0.91801,0.23080,0.41408,0.71680,0.07422,0.09030,0.18257,0.18650,1.00000,0.54639,0.84041,0.65395,hard_regime_aggregate
causal_scene_flow_model_v5,4,512,0.81237,0.72452,0.94876,0.92512,0.23464,0.40989,0.66406,0.09570,0.09004,0.18185,0.18727,1.00000,0.55129,0.84172,0.60862,hard_regime_aggregate
causal_scene_flow_model_v5,5,512,0.81858,0.73404,0.94706,0.92037,0.22287,0.41640,0.72266,0.05664,0.08882,0.17847,0.18417,1.00000,0.54479,0.84043,0.66556,hard_regime_aggregate
causal_scene_flow_model_v5,6,512,0.81760,0.72955,0.95093,0.92588,0.22683,0.42197,0.71289,0.08594,0.08833,0.17996,0.18524,1.00000,0.54965,0.84314,0.64754,hard_regime_aggregate
causal_scene_flow_model_v5,7,512,0.81466,0.72842,0.94580,0.91866,0.22551,0.42107,0.66406,0.07227,0.09011,0.18079,0.18510,1.00000,0.54393,0.83914,0.61754,hard_regime_aggregate
causal_scene_flow_model_v5,8,512,0.81621,0.72854,0.94970,0.92698,0.23023,0.41282,0.69922,0.10547,0.08959,0.18141,0.18616,1.00000,0.55013,0.84232,0.63076,hard_regime_aggregate
causal_scene_flow_model_v5,9,512,0.81851,0.73372,0.94758,0.92420,0.22637,0.42422,0.72656,0.08008,0.08819,0.17944,0.18500,1.00000,0.54888,0.84199,0.65915,hard_regime_aggregate
contrastive_action_flow,0,512,0.83948,0.80697,0.89525,0.78548,0.15250,0.23515,0.75781,0.08008,0.10144,0.18070,0.14447,1.00000,0.41608,0.77558,0.69662,hard_regime_aggregate
contrastive_action_flow,1,512,0.84029,0.80901,0.89309,0.78847,0.15033,0.23245,0.76758,0.07422,0.10109,0.18044,0.14389,1.00000,0.41417,0.77450,0.70599,hard_regime_aggregate
contrastive_action_flow,2,512,0.83523,0.80560,0.88690,0.76056,0.15233,0.23169,0.72852,0.07031,0.10211,0.18251,0.14506,1.00000,0.41186,0.77125,0.67865,hard_regime_aggregate
contrastive_action_flow,3,512,0.83584,0.80091,0.89405,0.77946,0.15802,0.23622,0.73438,0.09180,0.10200,0.18181,0.14615,1.00000,0.41359,0.77275,0.67434,hard_regime_aggregate
contrastive_action_flow,4,512,0.83139,0.79367,0.89334,0.77557,0.16343,0.24183,0.72266,0.11133,0.10124,0.18184,0.14738,1.00000,0.41708,0.77320,0.65747,hard_regime_aggregate
contrastive_action_flow,5,512,0.83670,0.80757,0.88735,0.76682,0.15064,0.23006,0.73828,0.09180,0.10187,0.18089,0.14440,1.00000,0.41126,0.77143,0.67831,hard_regime_aggregate
contrastive_action_flow,6,512,0.83856,0.80447,0.89368,0.77531,0.15338,0.23647,0.72656,0.08398,0.10110,0.18197,0.14507,1.00000,0.41564,0.77475,0.67291,hard_regime_aggregate
contrastive_action_flow,7,512,0.83828,0.80422,0.89365,0.78456,0.15101,0.24132,0.72266,0.07031,0.10236,0.18175,0.14436,1.00000,0.41135,0.77303,0.67483,hard_regime_aggregate
contrastive_action_flow,8,512,0.84117,0.80876,0.89473,0.78243,0.15088,0.23555,0.72266,0.09766,0.10114,0.18058,0.14409,1.00000,0.41549,0.77549,0.66611,hard_regime_aggregate
