method,seed,rows,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error,risk_upper,coverage,counterfactual_gap,intervention_consistency,causal_utility,split
contrastive_action_flow,9,512,0.84051,0.80919,0.89434,0.79456,0.15135,0.23648,0.73438,0.10156,0.10110,0.18161,0.14435,1.00000,0.41482,0.77494,0.67262,hard_regime_aggregate
flow_magnitude_threshold,0,512,0.47863,0.35649,0.74794,0.17410,0.75501,0.73910,0.27344,0.24414,0.23826,0.31573,0.33751,1.00000,0.22163,0.50361,0.10558,hard_regime_aggregate
flow_magnitude_threshold,1,512,0.47688,0.35495,0.74499,0.16506,0.75578,0.72648,0.28906,0.25781,0.23790,0.31624,0.33779,1.00000,0.22308,0.50343,0.11196,hard_regime_aggregate
flow_magnitude_threshold,2,512,0.47623,0.35339,0.75148,0.17386,0.76246,0.72546,0.24805,0.24609,0.23892,0.31818,0.33977,1.00000,0.22234,0.50326,0.08661,hard_regime_aggregate
flow_magnitude_threshold,3,512,0.47425,0.35242,0.74424,0.16419,0.75898,0.73131,0.27344,0.25977,0.23799,0.31608,0.33877,1.00000,0.22249,0.50222,0.09908,hard_regime_aggregate
flow_magnitude_threshold,4,512,0.47685,0.35426,0.74903,0.17477,0.75798,0.72985,0.27344,0.24414,0.23787,0.31774,0.33843,1.00000,0.22439,0.50468,0.10562,hard_regime_aggregate
flow_magnitude_threshold,5,512,0.47506,0.35349,0.74532,0.16355,0.76121,0.70983,0.28125,0.20508,0.23875,0.31731,0.33951,1.00000,0.22193,0.50172,0.12533,hard_regime_aggregate
flow_magnitude_threshold,6,512,0.47565,0.35247,0.75149,0.18391,0.76028,0.72058,0.29492,0.30273,0.23796,0.31801,0.33920,1.00000,0.22469,0.50496,0.09969,hard_regime_aggregate
flow_magnitude_threshold,7,512,0.47454,0.35283,0.74435,0.17007,0.75613,0.72356,0.27734,0.24023,0.23973,0.31711,0.33822,1.00000,0.22025,0.50171,0.10964,hard_regime_aggregate
flow_magnitude_threshold,8,512,0.47651,0.35444,0.74753,0.16831,0.76251,0.73878,0.24609,0.27539,0.23878,0.31609,0.33962,1.00000,0.22153,0.50180,0.07375,hard_regime_aggregate
flow_magnitude_threshold,9,512,0.47397,0.35262,0.74472,0.16501,0.76012,0.72089,0.26172,0.22266,0.23790,0.31739,0.33916,1.00000,0.22372,0.50274,0.10474,hard_regime_aggregate
learned_correlation_classifier,0,512,0.82354,0.74568,0.93803,0.89446,0.21627,0.29718,0.69141,0.08789,0.11004,0.20436,0.16666,1.00000,0.41423,0.77171,0.63293,hard_regime_aggregate
learned_correlation_classifier,1,512,0.82398,0.74600,0.93813,0.90128,0.21767,0.29527,0.69141,0.11719,0.10989,0.20469,0.16700,1.00000,0.41307,0.77082,0.62230,hard_regime_aggregate
learned_correlation_classifier,2,512,0.81980,0.74111,0.93533,0.88725,0.22091,0.30134,0.67969,0.11719,0.11078,0.20647,0.16837,1.00000,0.41125,0.76844,0.61239,hard_regime_aggregate
learned_correlation_classifier,3,512,0.81837,0.73776,0.93824,0.89308,0.22689,0.30110,0.71289,0.08203,0.11052,0.20535,0.16966,1.00000,0.41269,0.76862,0.64737,hard_regime_aggregate
learned_correlation_classifier,4,512,0.81657,0.73508,0.93819,0.89413,0.22873,0.30172,0.67578,0.12500,0.11002,0.20565,0.17005,1.00000,0.41511,0.76946,0.60548,hard_regime_aggregate
learned_correlation_classifier,5,512,0.82157,0.74374,0.93551,0.89879,0.21845,0.29409,0.69336,0.09570,0.11045,0.20501,0.16751,1.00000,0.41102,0.76890,0.63076,hard_regime_aggregate
learned_correlation_classifier,6,512,0.82060,0.73969,0.93760,0.89273,0.22083,0.30181,0.69336,0.11328,0.10983,0.20583,0.16823,1.00000,0.41432,0.77064,0.62373,hard_regime_aggregate
learned_correlation_classifier,7,512,0.81870,0.73734,0.93783,0.90776,0.22276,0.30448,0.69336,0.12109,0.11107,0.20582,0.16862,1.00000,0.41065,0.76837,0.61995,hard_regime_aggregate
learned_correlation_classifier,8,512,0.82609,0.74773,0.93900,0.89959,0.21490,0.29985,0.71875,0.10742,0.10973,0.20423,0.16628,1.00000,0.41398,0.77213,0.64550,hard_regime_aggregate
learned_correlation_classifier,9,512,0.82153,0.74415,0.93535,0.89939,0.21881,0.30134,0.72461,0.11719,0.10975,0.20547,0.16758,1.00000,0.41377,0.77021,0.64457,hard_regime_aggregate
noncausal_flow_transformer_proxy,0,512,0.74249,0.63740,0.91516,0.86814,0.34978,0.46614,0.58594,0.12305,0.14084,0.22841,0.20773,1.00000,0.31716,0.68591,0.49703,hard_regime_aggregate
noncausal_flow_transformer_proxy,1,512,0.74299,0.63839,0.91229,0.86909,0.35048,0.46679,0.58398,0.16797,0.14028,0.22747,0.20782,1.00000,0.31691,0.68488,0.47932,hard_regime_aggregate
noncausal_flow_transformer_proxy,2,512,0.73691,0.63193,0.91058,0.84712,0.35473,0.46997,0.57617,0.13086,0.14111,0.22947,0.20944,1.00000,0.31586,0.68296,0.48531,hard_regime_aggregate
noncausal_flow_transformer_proxy,3,512,0.74143,0.63531,0.91383,0.86375,0.35245,0.46656,0.56836,0.14844,0.14093,0.22834,0.20857,1.00000,0.31614,0.68445,0.47489,hard_regime_aggregate
noncausal_flow_transformer_proxy,4,512,0.74104,0.63570,0.91377,0.86077,0.35157,0.46006,0.58008,0.14258,0.14038,0.22920,0.20830,1.00000,0.31860,0.68591,0.48581,hard_regime_aggregate
noncausal_flow_transformer_proxy,5,512,0.74186,0.64013,0.90814,0.85137,0.34645,0.45012,0.56445,0.13867,0.14076,0.22788,0.20713,1.00000,0.31519,0.68380,0.47737,hard_regime_aggregate
noncausal_flow_transformer_proxy,6,512,0.74275,0.63761,0.91240,0.85755,0.34854,0.45547,0.55273,0.14062,0.14036,0.22918,0.20777,1.00000,0.31797,0.68589,0.46828,hard_regime_aggregate
noncausal_flow_transformer_proxy,7,512,0.74207,0.63840,0.91103,0.86822,0.34411,0.46170,0.59375,0.12500,0.14129,0.22849,0.20646,1.00000,0.31523,0.68508,0.50257,hard_regime_aggregate
noncausal_flow_transformer_proxy,8,512,0.73929,0.63432,0.91053,0.85850,0.35269,0.47116,0.58789,0.12305,0.14092,0.22810,0.20868,1.00000,0.31653,0.68375,0.49697,hard_regime_aggregate
noncausal_flow_transformer_proxy,9,512,0.74361,0.64041,0.91261,0.87535,0.34711,0.45783,0.61133,0.15625,0.14040,0.22890,0.20721,1.00000,0.31754,0.68603,0.50386,hard_regime_aggregate
oracle_causal_mask,0,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97656,0.00586,0.00001,0.00175,0.01856,1.00000,0.99400,1.00000,0.96148,hard_regime_aggregate
oracle_causal_mask,1,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.98242,0.01172,0.00001,0.00175,0.01855,1.00000,0.99400,1.00000,0.96348,hard_regime_aggregate
oracle_causal_mask,2,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.96875,0.01367,0.00001,0.00177,0.01860,1.00000,0.99400,1.00000,0.95320,hard_regime_aggregate
oracle_causal_mask,3,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97266,0.01172,0.00001,0.00175,0.01859,1.00000,0.99400,1.00000,0.95664,hard_regime_aggregate
oracle_causal_mask,4,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.98438,0.00586,0.00001,0.00176,0.01857,1.00000,0.99400,1.00000,0.96695,hard_regime_aggregate
oracle_causal_mask,5,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.98438,0.00586,0.00001,0.00176,0.01859,1.00000,0.99400,1.00000,0.96695,hard_regime_aggregate
oracle_causal_mask,6,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.98633,0.00781,0.00001,0.00177,0.01864,1.00000,0.99400,1.00000,0.96762,hard_regime_aggregate
oracle_causal_mask,7,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97852,0.00977,0.00001,0.00175,0.01857,1.00000,0.99400,1.00000,0.96145,hard_regime_aggregate
oracle_causal_mask,8,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.98047,0.01367,0.00001,0.00175,0.01858,1.00000,0.99400,1.00000,0.96141,hard_regime_aggregate
oracle_causal_mask,9,512,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.98047,0.00586,0.00001,0.00177,0.01859,1.00000,0.99400,1.00000,0.96422,hard_regime_aggregate
rigid_scene_flow_cluster,0,512,0.62731,0.46888,0.97638,0.95336,0.69108,0.65776,0.36523,0.19531,0.16200,0.27670,0.30163,1.00000,0.41640,0.67835,0.24473,hard_regime_aggregate
rigid_scene_flow_cluster,1,512,0.62825,0.46986,0.97538,0.95877,0.69255,0.64679,0.41406,0.22852,0.16132,0.27644,0.30192,1.00000,0.41749,0.67833,0.26758,hard_regime_aggregate
rigid_scene_flow_cluster,2,512,0.62367,0.46605,0.97376,0.94330,0.69346,0.64860,0.39844,0.22070,0.16216,0.27776,0.30259,1.00000,0.41708,0.67750,0.25841,hard_regime_aggregate
rigid_scene_flow_cluster,3,512,0.62726,0.46936,0.97283,0.95087,0.68823,0.64935,0.40039,0.22656,0.16141,0.27634,0.30100,1.00000,0.41675,0.67824,0.25891,hard_regime_aggregate
rigid_scene_flow_cluster,4,512,0.62557,0.46760,0.97456,0.95255,0.69213,0.64699,0.42188,0.20508,0.16168,0.27762,0.30204,1.00000,0.41797,0.67846,0.28112,hard_regime_aggregate
rigid_scene_flow_cluster,5,512,0.62637,0.46852,0.97412,0.95392,0.69146,0.63378,0.38867,0.21289,0.16168,0.27679,0.30188,1.00000,0.41677,0.67787,0.25599,hard_regime_aggregate
rigid_scene_flow_cluster,6,512,0.62610,0.46749,0.97401,0.94778,0.68732,0.64005,0.40625,0.21484,0.16133,0.27749,0.30098,1.00000,0.41817,0.67948,0.26786,hard_regime_aggregate
rigid_scene_flow_cluster,7,512,0.62550,0.46675,0.97685,0.96016,0.69159,0.64820,0.38477,0.19922,0.16265,0.27756,0.30191,1.00000,0.41529,0.67779,0.25715,hard_regime_aggregate
rigid_scene_flow_cluster,8,512,0.62624,0.46815,0.97437,0.95335,0.69448,0.66042,0.40625,0.20508,0.16194,0.27638,0.30260,1.00000,0.41623,0.67699,0.26902,hard_regime_aggregate
rigid_scene_flow_cluster,9,512,0.62661,0.46864,0.97343,0.95789,0.68897,0.64184,0.41016,0.20898,0.16122,0.27703,0.30122,1.00000,0.41825,0.67901,0.27243,hard_regime_aggregate
scene_flow_transformer_proxy,0,512,0.79665,0.69157,0.96054,0.93360,0.28453,0.35614,0.65234,0.09961,0.11951,0.22995,0.18721,1.00000,0.43452,0.77310,0.58550,hard_regime_aggregate
scene_flow_transformer_proxy,1,512,0.79530,0.69012,0.95963,0.93378,0.28881,0.35739,0.64648,0.11328,0.11923,0.22982,0.18828,1.00000,0.43268,0.77096,0.57542,hard_regime_aggregate
scene_flow_transformer_proxy,2,512,0.78831,0.68231,0.95623,0.91771,0.29601,0.36608,0.63281,0.12891,0.12069,0.23198,0.19080,1.00000,0.43029,0.76725,0.55728,hard_regime_aggregate
scene_flow_transformer_proxy,3,512,0.78944,0.68022,0.96138,0.93336,0.30093,0.36851,0.65234,0.12695,0.12038,0.23113,0.19176,1.00000,0.43165,0.76821,0.57121,hard_regime_aggregate
scene_flow_transformer_proxy,4,512,0.79046,0.68336,0.95995,0.93153,0.29455,0.35982,0.65039,0.12109,0.11967,0.23110,0.18999,1.00000,0.43511,0.77104,0.57374,hard_regime_aggregate
scene_flow_transformer_proxy,5,512,0.79335,0.68803,0.95830,0.92838,0.29052,0.35299,0.66406,0.13867,0.12016,0.23041,0.18905,1.00000,0.43030,0.76900,0.57810,hard_regime_aggregate
scene_flow_transformer_proxy,6,512,0.79072,0.68243,0.95963,0.92999,0.29380,0.36482,0.70508,0.14062,0.11951,0.23123,0.19003,1.00000,0.43371,0.77040,0.60475,hard_regime_aggregate
scene_flow_transformer_proxy,7,512,0.79036,0.68268,0.95947,0.93599,0.29328,0.36264,0.64062,0.10938,0.12091,0.23142,0.18983,1.00000,0.42961,0.76834,0.57077,hard_regime_aggregate
scene_flow_transformer_proxy,8,512,0.79548,0.69007,0.95763,0.92968,0.28608,0.36243,0.70312,0.10742,0.11931,0.22991,0.18775,1.00000,0.43359,0.77151,0.61730,hard_regime_aggregate
scene_flow_transformer_proxy,9,512,0.79270,0.68853,0.95611,0.92983,0.28845,0.36063,0.64648,0.10547,0.11945,0.23082,0.18855,1.00000,0.43293,0.77025,0.57758,hard_regime_aggregate
temporal_difference_mask,0,512,0.47629,0.33964,0.82205,0.44516,0.83436,0.75530,0.24219,0.26758,0.25739,0.35676,0.36173,1.00000,0.23234,0.51099,0.06529,hard_regime_aggregate
temporal_difference_mask,1,512,0.47845,0.34192,0.82513,0.45735,0.83189,0.74011,0.27344,0.30469,0.25597,0.35623,0.36075,1.00000,0.23336,0.51286,0.07558,hard_regime_aggregate
temporal_difference_mask,2,512,0.47092,0.33481,0.82081,0.42982,0.83634,0.74584,0.22852,0.28125,0.25835,0.35902,0.36274,1.00000,0.23133,0.50971,0.05011,hard_regime_aggregate
temporal_difference_mask,3,512,0.47238,0.33707,0.81710,0.44074,0.83705,0.74785,0.24609,0.29492,0.25842,0.35746,0.36286,1.00000,0.22982,0.50780,0.05729,hard_regime_aggregate
temporal_difference_mask,4,512,0.47791,0.34114,0.82539,0.46026,0.83333,0.74359,0.23242,0.25391,0.25694,0.35840,0.36148,1.00000,0.23484,0.51338,0.06474,hard_regime_aggregate
temporal_difference_mask,5,512,0.47697,0.34101,0.82337,0.44934,0.83426,0.72484,0.20703,0.24609,0.25697,0.35741,0.36178,1.00000,0.23298,0.51169,0.05044,hard_regime_aggregate
temporal_difference_mask,6,512,0.47545,0.33856,0.82591,0.45307,0.82836,0.73575,0.23633,0.24805,0.25696,0.35849,0.36040,1.00000,0.23321,0.51377,0.07031,hard_regime_aggregate
temporal_difference_mask,7,512,0.47528,0.34054,0.81664,0.43678,0.82794,0.73688,0.24609,0.25781,0.25860,0.35745,0.36044,1.00000,0.22875,0.50913,0.07303,hard_regime_aggregate
temporal_difference_mask,8,512,0.47590,0.33953,0.82272,0.44828,0.83744,0.75366,0.23633,0.27539,0.25806,0.35727,0.36268,1.00000,0.23098,0.50978,0.05789,hard_regime_aggregate
temporal_difference_mask,9,512,0.47414,0.33910,0.81787,0.43229,0.83475,0.73600,0.24414,0.25391,0.25693,0.35778,0.36211,1.00000,0.23273,0.51002,0.07223,hard_regime_aggregate
world_model_flow_predictor,0,512,0.83086,0.76887,0.92862,0.86102,0.18992,0.36383,0.73828,0.06836,0.09573,0.18151,0.17413,1.00000,0.47306,0.80565,0.67718,hard_regime_aggregate
world_model_flow_predictor,1,512,0.83734,0.78085,0.92608,0.84782,0.17824,0.36472,0.73633,0.05078,0.09423,0.17779,0.17080,1.00000,0.46882,0.80536,0.68449,hard_regime_aggregate
world_model_flow_predictor,2,512,0.83094,0.77161,0.92349,0.85020,0.18448,0.37702,0.72852,0.07617,0.09516,0.17975,0.17285,1.00000,0.46619,0.80194,0.66696,hard_regime_aggregate
world_model_flow_predictor,3,512,0.83061,0.76848,0.92640,0.84284,0.18910,0.36863,0.73633,0.08203,0.09596,0.18134,0.17409,1.00000,0.46772,0.80248,0.67028,hard_regime_aggregate
world_model_flow_predictor,4,512,0.82571,0.76218,0.92609,0.85550,0.19551,0.37112,0.74219,0.06836,0.09552,0.18134,0.17553,1.00000,0.47237,0.80340,0.67772,hard_regime_aggregate
world_model_flow_predictor,5,512,0.83280,0.77430,0.92373,0.84341,0.18080,0.37333,0.72656,0.05859,0.09501,0.17806,0.17173,1.00000,0.46538,0.80239,0.67294,hard_regime_aggregate
world_model_flow_predictor,6,512,0.83267,0.77110,0.92654,0.84930,0.18413,0.37689,0.71289,0.07422,0.09427,0.17937,0.17266,1.00000,0.47008,0.80484,0.65740,hard_regime_aggregate
world_model_flow_predictor,7,512,0.82888,0.77005,0.92092,0.84722,0.18305,0.37820,0.74414,0.08984,0.09601,0.17984,0.17255,1.00000,0.46504,0.80099,0.67264,hard_regime_aggregate
world_model_flow_predictor,8,512,0.83343,0.77268,0.92872,0.86127,0.18595,0.36913,0.72461,0.08398,0.09528,0.18050,0.17307,1.00000,0.47131,0.80564,0.66256,hard_regime_aggregate
world_model_flow_predictor,9,512,0.83362,0.77403,0.92621,0.86194,0.18497,0.37993,0.72656,0.07031,0.09416,0.17897,0.17267,1.00000,0.46937,0.80419,0.66817,hard_regime_aggregate
