split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,mask_f1,0.34113,0.00194,0.33918,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,target_success,0.43730,0.01875,0.41856,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,causal_utility,0.54603,0.01433,0.53170,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,passive_false_attribution,-0.53174,0.00299,-0.53473,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,effect_error,-0.31116,0.00889,-0.32005,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,unsafe_contact,-0.17285,0.01443,-0.18728,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,risk_upper,-0.15340,0.00086,-0.15427,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,flow_magnitude_threshold,intervention_consistency,0.33860,0.00084,0.33776,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,mask_f1,0.16898,0.00439,0.16459,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,target_success,0.19609,0.01482,0.18127,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,causal_utility,0.23661,0.01307,0.22354,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,passive_false_attribution,-0.22796,0.00973,-0.23770,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,effect_error,0.00434,0.00410,0.00024,2,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,unsafe_contact,-0.08008,0.01331,-0.09339,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,risk_upper,-0.06164,0.00287,-0.06452,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,action_direction_projection,intervention_consistency,0.13655,0.00246,0.13409,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,mask_f1,0.19070,0.00137,0.18933,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,target_success,0.30957,0.01973,0.28984,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,causal_utility,0.38491,0.01750,0.36741,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,passive_false_attribution,-0.46383,0.00308,-0.46690,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,effect_error,-0.23196,0.00808,-0.24004,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,unsafe_contact,-0.13476,0.01244,-0.14720,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,risk_upper,-0.11638,0.00083,-0.11721,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,rigid_scene_flow_cluster,intervention_consistency,0.16341,0.00088,0.16253,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,mask_f1,0.34162,0.00195,0.33967,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,target_success,0.46992,0.01793,0.45199,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,causal_utility,0.58454,0.01548,0.56906,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,passive_false_attribution,-0.60627,0.00275,-0.60902,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,effect_error,-0.32656,0.00885,-0.33541,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,unsafe_contact,-0.19141,0.01656,-0.20796,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,risk_upper,-0.17630,0.00073,-0.17703,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,temporal_difference_mask,intervention_consistency,0.33070,0.00102,0.32968,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,mask_f1,0.07554,0.00162,0.07393,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,target_success,0.12871,0.01992,0.10879,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,causal_utility,0.16109,0.01743,0.14366,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,passive_false_attribution,-0.12249,0.00260,-0.12509,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,effect_error,-0.04716,0.00707,-0.05423,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,unsafe_contact,-0.06270,0.01428,-0.07698,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,risk_upper,-0.02252,0.00072,-0.02323,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,noncausal_flow_transformer_proxy,intervention_consistency,0.15675,0.00086,0.15589,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,mask_f1,-0.00409,0.00155,-0.00563,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,target_success,0.01172,0.01669,-0.00497,7,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,causal_utility,0.01973,0.01364,0.00610,8,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,passive_false_attribution,0.00668,0.00271,0.00397,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,effect_error,0.11560,0.00382,0.11179,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,unsafe_contact,-0.03144,0.00986,-0.04130,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,risk_upper,0.01740,0.00077,0.01663,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,learned_correlation_classifier,intervention_consistency,0.07168,0.00047,0.07121,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,mask_f1,-0.01578,0.00068,-0.01647,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,target_success,-0.01055,0.02537,-0.03591,5,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,causal_utility,-0.01053,0.01917,-0.02970,5,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,passive_false_attribution,0.02189,0.00157,0.02033,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,effect_error,0.10800,0.00393,0.10406,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,unsafe_contact,-0.00625,0.01008,-0.01633,6,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,risk_upper,-0.00485,0.00043,-0.00528,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,calibrated_tree_flow_proxy,intervention_consistency,0.05197,0.00028,0.05169,10,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,mask_f1,-0.02076,0.00152,-0.02228,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,target_success,-0.02637,0.01243,-0.03880,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,causal_utility,-0.02955,0.00914,-0.03869,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,passive_false_attribution,0.07392,0.00181,0.07210,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,effect_error,0.17970,0.00508,0.17462,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,unsafe_contact,-0.01035,0.00927,-0.01962,6,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,risk_upper,0.04047,0.00053,0.03994,0,10
hard_regime_aggregate,causal_scene_flow_model_v5,contrastive_action_flow,intervention_consistency,0.06792,0.00061,0.06731,10,10
