stress_axis,stress_level,split,method,seed,rows,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error,risk_upper,coverage,counterfactual_gap,intervention_consistency,causal_utility
articulation_delay,0.00,combined_hard_shift,action_direction_projection,0,32,0.59437,0.46112,0.88959,0.76621,0.52201,0.48128,0.59375,0.18750,0.21130,0.29612,0.27570,1.00000,0.32994,0.64802,0.42947
articulation_delay,0.00,combined_hard_shift,action_direction_projection,1,32,0.59536,0.47117,0.88899,0.73905,0.46883,0.45939,0.43750,0.09375,0.20917,0.30242,0.26256,1.00000,0.33638,0.66291,0.36348
articulation_delay,0.00,combined_hard_shift,action_direction_projection,2,32,0.59586,0.46299,0.89377,0.76607,0.49745,0.44449,0.53125,0.09375,0.20995,0.29747,0.26911,1.00000,0.34087,0.66019,0.42632
articulation_delay,0.00,combined_hard_shift,action_direction_projection,3,32,0.56448,0.42953,0.87390,0.70881,0.52015,0.48407,0.50000,0.21875,0.22041,0.31166,0.27833,1.00000,0.32034,0.63935,0.34683
articulation_delay,0.00,combined_hard_shift,action_direction_projection,4,32,0.60109,0.47276,0.87407,0.71897,0.46558,0.48570,0.40625,0.15625,0.19997,0.28755,0.25949,1.00000,0.35049,0.66709,0.31934
articulation_delay,0.00,combined_hard_shift,action_direction_projection,5,32,0.60010,0.47481,0.87497,0.71907,0.41995,0.48588,0.53125,0.15625,0.19888,0.28804,0.24734,1.00000,0.35643,0.68045,0.41375
articulation_delay,0.00,combined_hard_shift,action_direction_projection,6,32,0.57994,0.44962,0.87938,0.71097,0.49662,0.47152,0.46875,0.28125,0.21139,0.29784,0.26913,1.00000,0.33956,0.65596,0.31050
articulation_delay,0.00,combined_hard_shift,action_direction_projection,7,32,0.57675,0.44449,0.87835,0.75088,0.53159,0.47247,0.46875,0.28125,0.21037,0.30325,0.27950,1.00000,0.33041,0.64324,0.30421
articulation_delay,0.00,combined_hard_shift,action_direction_projection,8,32,0.57467,0.44279,0.87264,0.72202,0.49242,0.44410,0.50000,0.21875,0.21233,0.29996,0.26901,1.00000,0.33935,0.65501,0.35606
articulation_delay,0.00,combined_hard_shift,action_direction_projection,9,32,0.58854,0.46068,0.88678,0.73763,0.49739,0.49524,0.43750,0.15625,0.20889,0.30031,0.26921,1.00000,0.34162,0.65878,0.33382
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,0,32,0.77069,0.69160,0.89566,0.85189,0.28603,0.34815,0.62500,0.18750,0.11528,0.18632,0.22060,1.00000,0.38716,0.73127,0.52585
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,1,32,0.78135,0.69560,0.92186,0.88887,0.27122,0.35036,0.65625,0.18750,0.11371,0.19669,0.21735,1.00000,0.39361,0.74469,0.55269
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,2,32,0.78128,0.69651,0.90976,0.86166,0.27782,0.33983,0.71875,0.12500,0.11544,0.19160,0.21866,1.00000,0.39203,0.73927,0.61812
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,3,32,0.75756,0.66901,0.89622,0.85712,0.29867,0.34334,0.56250,0.09375,0.11713,0.19240,0.22462,1.00000,0.38822,0.72918,0.51227
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,4,32,0.78161,0.69759,0.90433,0.87123,0.26130,0.40276,0.68750,0.09375,0.11209,0.19151,0.21443,1.00000,0.39362,0.74232,0.60611
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,5,32,0.76714,0.67766,0.90435,0.88320,0.26818,0.40831,0.53125,0.12500,0.11332,0.19602,0.21654,1.00000,0.39553,0.74180,0.48195
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,6,32,0.78000,0.69418,0.90996,0.87626,0.27236,0.37457,0.81250,0.09375,0.11499,0.19451,0.21713,1.00000,0.38781,0.73833,0.69324
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,7,32,0.73072,0.62756,0.89184,0.85420,0.33096,0.36863,0.56250,0.12500,0.11734,0.19543,0.23321,1.00000,0.38560,0.71958,0.49018
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,8,32,0.76884,0.68306,0.90008,0.85875,0.29585,0.34192,0.62500,0.18750,0.11563,0.19177,0.22344,1.00000,0.38992,0.73169,0.52480
articulation_delay,0.00,combined_hard_shift,calibrated_tree_flow_proxy,9,32,0.77775,0.69277,0.90374,0.88646,0.25679,0.37505,0.62500,0.03125,0.11472,0.19667,0.21378,1.00000,0.38748,0.73997,0.58617
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,0,32,0.76260,0.67315,0.90334,0.87605,0.27743,0.54330,0.68750,0.15625,0.10985,0.18565,0.21042,1.00000,0.48400,0.78551,0.57539
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,1,32,0.77300,0.67408,0.93101,0.91894,0.27327,0.51461,0.46875,0.00000,0.10633,0.19342,0.20947,1.00000,0.49436,0.79901,0.48402
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,2,32,0.78773,0.70564,0.91950,0.87676,0.25605,0.49105,0.62500,0.09375,0.11165,0.19291,0.20586,1.00000,0.48910,0.79707,0.56525
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,3,32,0.74719,0.64248,0.91292,0.89300,0.30669,0.58345,0.50000,0.03125,0.10867,0.18269,0.21675,1.00000,0.48765,0.78346,0.48051
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,4,32,0.77742,0.68892,0.91690,0.90260,0.26435,0.53603,0.68750,0.00000,0.10736,0.19176,0.20735,1.00000,0.49193,0.79604,0.63728
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,5,32,0.75759,0.65903,0.91435,0.89797,0.26824,0.58031,0.53125,0.03125,0.11069,0.19852,0.20918,1.00000,0.49535,0.79630,0.51039
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,6,32,0.77003,0.69107,0.90759,0.87512,0.23341,0.49076,0.56250,0.12500,0.11213,0.19320,0.20049,1.00000,0.48351,0.79605,0.51003
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,7,32,0.72675,0.61857,0.89799,0.87571,0.32747,0.56309,0.59375,0.09375,0.11433,0.19235,0.22371,1.00000,0.47961,0.77083,0.51757
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,8,32,0.77254,0.69080,0.89829,0.85057,0.25650,0.56011,0.71875,0.03125,0.10749,0.18533,0.20533,1.00000,0.48484,0.78924,0.64581
articulation_delay,0.00,combined_hard_shift,causal_scene_flow_model_v5,9,32,0.76208,0.66952,0.90756,0.88348,0.27316,0.57299,0.59375,0.12500,0.10847,0.19256,0.20952,1.00000,0.48467,0.78790,0.51995
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,0,32,0.74766,0.70792,0.82511,0.70887,0.26514,0.29642,0.65625,0.15625,0.11915,0.17585,0.18406,1.00000,0.35416,0.70036,0.55719
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,1,32,0.75369,0.71065,0.83842,0.73282,0.24747,0.28881,0.65625,0.21875,0.11721,0.18691,0.18042,1.00000,0.36163,0.71159,0.53958
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,2,32,0.76699,0.71243,0.85472,0.75710,0.25595,0.29828,0.68750,0.15625,0.11876,0.18172,0.18136,1.00000,0.36160,0.71395,0.58478
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,3,32,0.74694,0.69417,0.83522,0.71722,0.26643,0.28399,0.62500,0.18750,0.12066,0.18292,0.18505,1.00000,0.35739,0.70439,0.52503
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,4,32,0.77797,0.74006,0.84500,0.73564,0.22239,0.30596,0.71875,0.18750,0.11530,0.18123,0.17287,1.00000,0.36210,0.71907,0.60134
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,5,32,0.74892,0.70434,0.82339,0.73324,0.23232,0.33336,0.68750,0.03125,0.11558,0.18543,0.17630,1.00000,0.36612,0.71335,0.62755
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,6,32,0.74378,0.70997,0.81130,0.67789,0.25628,0.30704,0.56250,0.06250,0.11851,0.18466,0.18259,1.00000,0.35588,0.69961,0.52503
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,7,32,0.71616,0.64521,0.83059,0.73990,0.29875,0.32193,0.56250,0.12500,0.12043,0.18577,0.19374,1.00000,0.35428,0.69446,0.49151
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,8,32,0.75165,0.71976,0.81745,0.70010,0.26022,0.24389,0.68750,0.28125,0.11891,0.18235,0.18365,1.00000,0.36112,0.70307,0.53877
articulation_delay,0.00,combined_hard_shift,contrastive_action_flow,9,32,0.74744,0.71011,0.81119,0.69254,0.22610,0.30384,0.75000,0.00000,0.11765,0.18639,0.17524,1.00000,0.35539,0.70597,0.68395
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,0,32,0.74872,0.66631,0.88713,0.82733,0.33026,0.35026,0.56250,0.09375,0.12660,0.20051,0.20775,1.00000,0.35742,0.70385,0.50361
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,1,32,0.75962,0.67691,0.90251,0.86063,0.30220,0.34015,0.65625,0.09375,0.12569,0.21130,0.20119,1.00000,0.36329,0.71708,0.57654
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,2,32,0.74610,0.65553,0.89410,0.83639,0.34306,0.35456,0.62500,0.21875,0.12694,0.20591,0.21138,1.00000,0.36307,0.70579,0.50038
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,3,32,0.74331,0.65379,0.88997,0.83285,0.33060,0.33556,0.50000,0.21875,0.12908,0.20813,0.20887,1.00000,0.35838,0.70502,0.41497
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,4,32,0.76133,0.67866,0.88980,0.84257,0.29479,0.38036,0.59375,0.15625,0.12336,0.20560,0.19857,1.00000,0.36418,0.71587,0.50890
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,5,32,0.74393,0.65621,0.88818,0.84752,0.29955,0.40205,0.65625,0.18750,0.12435,0.21018,0.20026,1.00000,0.36596,0.71532,0.53667
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,6,32,0.74237,0.65489,0.88859,0.83619,0.33923,0.37823,0.59375,0.12500,0.12700,0.21002,0.21055,1.00000,0.35858,0.70286,0.51035
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,7,32,0.72192,0.61841,0.89019,0.84974,0.35435,0.36258,0.71875,0.12500,0.12792,0.20990,0.21530,1.00000,0.35811,0.69971,0.59332
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,8,32,0.74670,0.66159,0.88734,0.81838,0.34288,0.33113,0.65625,0.06250,0.12717,0.20716,0.21172,1.00000,0.36273,0.70389,0.57980
articulation_delay,0.00,combined_hard_shift,learned_correlation_classifier,9,32,0.74789,0.65970,0.89157,0.85916,0.31019,0.36527,0.62500,0.21875,0.12596,0.21141,0.20304,1.00000,0.35883,0.71016,0.50449
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,0,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.06250,0.00001,0.00169,0.02002,1.00000,0.99400,1.00000,0.95750
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,1,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.03125,0.00001,0.00178,0.02011,1.00000,0.99400,1.00000,0.96875
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,2,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.96875,0.03125,0.00001,0.00170,0.02001,1.00000,0.99400,1.00000,0.94687
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,3,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00001,0.00172,0.02006,1.00000,0.99400,1.00000,0.98000
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,4,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.93750,0.00000,0.00001,0.00175,0.02001,1.00000,0.99400,1.00000,0.93625
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,5,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.96875,0.03125,0.00001,0.00178,0.01997,1.00000,0.99400,1.00000,0.94688
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,6,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.96875,0.00000,0.00001,0.00176,0.01988,1.00000,0.99400,1.00000,0.95813
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,7,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.96875,0.00000,0.00001,0.00177,0.02011,1.00000,0.99400,1.00000,0.95813
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,8,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.96875,0.00000,0.00001,0.00171,0.02001,1.00000,0.99400,1.00000,0.95813
articulation_delay,0.00,combined_hard_shift,oracle_causal_mask,9,32,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.96875,0.03125,0.00001,0.00179,0.01992,1.00000,0.99400,1.00000,0.94687
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,0,32,0.77246,0.71118,0.87089,0.81047,0.23938,0.51274,0.62500,0.06250,0.11334,0.18039,0.19696,1.00000,0.40992,0.74693,0.56873
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,1,32,0.77077,0.69988,0.88581,0.82820,0.24220,0.48026,0.75000,0.09375,0.11048,0.18970,0.19816,1.00000,0.41781,0.75429,0.64721
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,2,32,0.79350,0.74916,0.87831,0.78895,0.21517,0.46105,0.65625,0.18750,0.11480,0.18816,0.19175,1.00000,0.41590,0.75729,0.55623
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,3,32,0.75575,0.68734,0.86657,0.78772,0.25237,0.52349,0.53125,0.09375,0.11205,0.17820,0.20000,1.00000,0.41224,0.74415,0.48665
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,4,32,0.79089,0.73211,0.88775,0.83120,0.22032,0.49204,0.59375,0.06250,0.11123,0.18805,0.19240,1.00000,0.41738,0.75939,0.55483
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,5,32,0.77486,0.70436,0.88524,0.83904,0.22255,0.53061,0.75000,0.15625,0.11369,0.19537,0.19383,1.00000,0.42201,0.76065,0.62546
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,6,32,0.78109,0.74046,0.86971,0.78747,0.19476,0.44500,0.71875,0.12500,0.11571,0.19000,0.18688,1.00000,0.41105,0.75703,0.62387
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,7,32,0.73219,0.65079,0.86191,0.79950,0.28474,0.52417,0.65625,0.21875,0.11618,0.18865,0.20962,1.00000,0.40797,0.73360,0.52019
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,8,32,0.79086,0.74183,0.87205,0.78270,0.20383,0.51183,0.68750,0.18750,0.11149,0.18111,0.18815,1.00000,0.41148,0.75586,0.57582
articulation_delay,0.00,combined_hard_shift,world_model_flow_predictor,9,32,0.77781,0.71627,0.87747,0.80719,0.22149,0.51873,0.65625,0.03125,0.11233,0.18967,0.19291,1.00000,0.41068,0.75297,0.60523
