split,method,seed,rows,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error,risk_upper,coverage,counterfactual_gap,intervention_consistency,causal_utility
combined_hard_shift,correlation_only_causal_head,0,80,0.72998,0.63430,0.89099,0.83751,0.34958,0.49464,0.56250,0.08750,0.12725,0.21276,0.21863,1.00000,0.36232,0.70315,0.49180
combined_hard_shift,correlation_only_causal_head,1,80,0.73043,0.63177,0.89571,0.85503,0.35485,0.48562,0.67500,0.13750,0.12847,0.21107,0.21971,1.00000,0.35990,0.70196,0.55239
combined_hard_shift,correlation_only_causal_head,2,80,0.73786,0.63905,0.89951,0.85134,0.34022,0.48544,0.52500,0.11250,0.12773,0.21161,0.21614,1.00000,0.35771,0.70503,0.45971
combined_hard_shift,correlation_only_causal_head,3,80,0.76249,0.67731,0.89568,0.84649,0.29454,0.49757,0.50000,0.15000,0.12484,0.20600,0.20370,1.00000,0.36067,0.71562,0.43867
combined_hard_shift,correlation_only_causal_head,4,80,0.74699,0.65914,0.89462,0.84549,0.33161,0.48992,0.50000,0.20000,0.12632,0.20761,0.21317,1.00000,0.36024,0.70697,0.41317
combined_hard_shift,correlation_only_causal_head,5,80,0.71577,0.61871,0.88565,0.82186,0.38041,0.47517,0.46250,0.20000,0.13290,0.21642,0.22790,1.00000,0.35085,0.68902,0.37480
combined_hard_shift,correlation_only_causal_head,6,80,0.72875,0.63222,0.89783,0.84604,0.36568,0.49718,0.51250,0.10000,0.13078,0.21258,0.22279,1.00000,0.35299,0.69654,0.44922
combined_hard_shift,correlation_only_causal_head,7,80,0.75935,0.67844,0.89494,0.84249,0.31242,0.46457,0.61250,0.11250,0.12531,0.20582,0.20796,1.00000,0.36211,0.71225,0.52985
combined_hard_shift,correlation_only_causal_head,8,80,0.73543,0.63444,0.89965,0.86088,0.33441,0.48879,0.61250,0.17500,0.12782,0.21399,0.21462,1.00000,0.35747,0.70622,0.49871
combined_hard_shift,correlation_only_causal_head,9,80,0.75244,0.66996,0.88656,0.85234,0.29490,0.50698,0.61250,0.07500,0.12431,0.20756,0.20348,1.00000,0.36425,0.71504,0.54214
combined_hard_shift,full_causal_scene_flow_model_v5,0,80,0.75509,0.65750,0.90810,0.88444,0.29014,0.58035,0.66250,0.05000,0.10743,0.18876,0.21804,1.00000,0.49177,0.78800,0.59149
combined_hard_shift,full_causal_scene_flow_model_v5,1,80,0.74523,0.64601,0.91137,0.88233,0.29202,0.53991,0.61250,0.12500,0.11453,0.19560,0.21970,1.00000,0.48684,0.78587,0.52985
combined_hard_shift,full_causal_scene_flow_model_v5,2,80,0.74399,0.64354,0.90586,0.87871,0.29875,0.55128,0.55000,0.07500,0.11070,0.19313,0.22118,1.00000,0.48645,0.78275,0.50204
combined_hard_shift,full_causal_scene_flow_model_v5,3,80,0.76736,0.66932,0.92452,0.90152,0.28813,0.55739,0.62500,0.07500,0.10922,0.19358,0.21832,1.00000,0.49657,0.79520,0.56068
combined_hard_shift,full_causal_scene_flow_model_v5,4,80,0.76920,0.67668,0.91742,0.89556,0.26701,0.56867,0.62500,0.08750,0.10840,0.18905,0.21246,1.00000,0.49313,0.79622,0.55846
combined_hard_shift,full_causal_scene_flow_model_v5,5,80,0.75041,0.66186,0.89640,0.85361,0.28443,0.54484,0.61250,0.06250,0.11363,0.19167,0.21802,1.00000,0.47236,0.77612,0.55263
combined_hard_shift,full_causal_scene_flow_model_v5,6,80,0.75668,0.65965,0.91049,0.88236,0.28441,0.57337,0.70000,0.08750,0.11089,0.19087,0.21705,1.00000,0.47914,0.78331,0.60503
